network,category,beta,se,r_squared,ci_lower,ci_upper,classification,n_obs,mcap_return,annualized_return,years,user_growth,start_date,end_date
Ethereum,L1,1.516324395873093,0.016003319182784623,0.7352317756797591,1.4849467195990693,1.5477020721471166,Sustainable (β > 1),3235,59019.452648601786,105.42546146220913,8.865160848733744,6455.711483449121,2017-01-01,2025-11-13
Render,Compute,1.3898067082430008,0.02325568877836381,0.6614499997303973,1.3441961962793865,1.435417220206615,Sustainable (β > 1),1830,6670.885101803196,132.1552890150749,5.004791238877481,222.5609756097561,2020-11-11,2025-11-13
Livepeer,Compute,1.317480553051906,0.03607122530892035,0.3723195188839261,1.2467441820854357,1.3882169240183764,Sustainable (β > 1),2251,1116.0508913643846,50.011251460946404,6.160164271047228,307.08898944193066,2019-10-23,2025-12-20
Chainlink,Oracle,1.2084638525352642,0.009176345796894976,0.861080371613995,1.190470761832349,1.2264569432381796,Sustainable (β > 1),2800,5239.992826596739,68.04748705989674,7.663244353182751,3810.7675906183367,2018-04-25,2025-12-23
Optimism,L2,1.109102648619449,0.031081175078627434,0.49443812858440916,1.048127982531253,1.170077314707645,Sustainable (β > 1),1304,256.7485638831994,42.8351946105709,3.567419575633128,65.28369083373566,2022-06-02,2025-12-26
Sushiswap,DEX,1.0296782880184578,0.027183803601457977,0.42464290665169824,0.976365819176914,1.0829907568600017,Borderline (β ≈ 1),1946,-48.02144129441275,-11.562825415400324,5.325119780971937,-91.54794371113778,2020-08-29,2025-12-26
Aave,DeFi,0.9310953473348734,0.023481900992891075,0.4516338688000724,0.885042468476311,0.9771482261934359,Unsustainable (β < 1),1911,772.9724736680196,51.337961580727566,5.229295003422314,665.6759348034516,2020-10-03,2025-12-26
Compound,DeFi,0.7740754573976086,0.031212467129877144,0.2353762750097459,0.7128630645978257,0.8352878501973916,Unsustainable (β < 1),2000,-42.027978661577755,-9.481752668936839,5.47296372347707,-5.532681420483792,2020-07-06,2025-12-26
Polygon,L2,0.4339265779126777,0.011188275634387096,0.44474045355435077,0.4119838187417447,0.45586933708361066,Unsustainable (β < 1),1880,319.12370470276244,32.121710322144416,5.144421629021219,2225821.217712177,2020-07-06,2025-08-28
Arbitrum,L2,0.39429713070755423,0.017339848504895172,0.3390504963661495,0.36027079557246156,0.4283234658426469,Unsustainable (β < 1),1010,-32.42739441326407,-13.228255136385926,2.7624914442162902,-22.7238606110862,2023-03-23,2025-12-26
Maker,DeFi,0.37034171416490147,0.037790427482734645,0.050812573758948876,0.296223832528132,0.44445959580167094,Unsustainable (β < 1),1796,169.428649379374,22.345363174795963,4.914442162902122,72.62773722627738,2020-07-06,2025-06-05
Uniswap,DEX,0.360876002426178,0.03573028762583378,0.05108139280965551,0.2908011681728785,0.43095083667947753,Unsustainable (β < 1),1897,543.9475031530111,43.15907995894328,5.190965092402464,-55.82322088389557,2020-10-11,2025-12-20
Thegraph,Indexing,0.2777683013603486,0.046958880960140136,0.01878103958776034,0.18566960575761582,0.36986699696308134,Unsustainable (β < 1),1830,10.652000301683431,2.0419231047287267,5.007529089664613,-24.76476203463794,2020-12-17,2025-12-20
Dimo,IoT,0.11999466237599898,0.01402114060235211,0.07088516109340603,0.09247904092845591,0.14751028382354206,Unsustainable (β < 1),962,-34.655692431323615,-14.932143756688143,2.631074606433949,85.71707602910298,2023-04-12,2025-11-28
Ens,Governance,-0.2543168343617139,0.017083162728244474,0.12880362586422456,-0.2878262748097146,-0.2208073939137131,Unsustainable (β < 1),1501,-61.06547254847745,-20.534246924102384,4.1040383299110195,-70.5820035754486,2021-11-09,2025-12-17
